round,samples,train_loss,test_loss,test_acc,wall_clock,active_workers,bytes_in,mean_staleness,round_seconds,barrier_wait
72,6912,1.64808,1.66328,0.604,1.1214,3,13620258,0.0,0.01375,0.00985
73,7008,1.67277,1.66328,0.604,1.1354,3,13809426,0.0,0.01406,0.0101
74,7104,1.64436,1.66328,0.604,1.1497,3,13998594,0.0,0.01431,0.00991
75,7200,1.61431,1.63312,0.619,1.164,3,14187762,0.0,0.01428,0.00964
76,7296,1.64263,1.63312,0.619,1.1851,3,14376930,0.0,0.02103,0.00924
77,7392,1.64355,1.63312,0.619,1.1991,3,14566098,0.0,0.01404,0.01013
78,7488,1.62965,1.63312,0.619,1.2128,3,14755266,0.0,0.01367,0.00974
79,7584,1.62012,1.63312,0.619,1.2268,3,14944434,0.0,0.01401,0.00976
80,7680,1.67191,1.60163,0.62,1.2408,3,15133602,0.0,0.01407,0.00943
81,7776,1.65376,1.60163,0.62,1.2618,3,15322770,0.0,0.02099,0.00926
82,7872,1.57974,1.60163,0.62,1.2762,3,15511938,0.0,0.0144,0.00918
83,7968,1.60955,1.60163,0.62,1.2904,3,15701106,0.0,0.01422,0.0096
84,8064,1.62142,1.60163,0.62,1.3046,3,15890274,0.0,0.01415,0.00982
85,8160,1.62008,1.57147,0.6335,1.3187,3,16079442,0.0,0.01411,0.00976
86,8256,1.6005,1.57147,0.6335,1.3395,3,16268610,0.0,0.02082,0.00906
87,8352,1.57021,1.57147,0.6335,1.3534,3,16457778,0.0,0.01385,0.00994
88,8448,1.57857,1.57147,0.6335,1.3679,3,16646946,0.0,0.01448,0.01041
89,8544,1.58341,1.57147,0.6335,1.3828,3,16836114,0.0,0.01491,0.0105
90,8640,1.53632,1.54377,0.6385,1.3978,3,17025282,0.0,0.01506,0.01047
91,8736,1.51972,1.54377,0.6385,1.418,3,17214450,0.0,0.02017,0.00933
92,8832,1.56402,1.54377,0.6385,1.4323,3,17403618,0.0,0.01429,0.01004
93,8928,1.54791,1.54377,0.6385,1.4465,3,17592786,0.0,0.01424,0.00953
94,9024,1.59244,1.54377,0.6385,1.4607,3,17781954,0.0,0.01414,0.0097
95,9120,1.61725,1.5176,0.6405,1.4754,3,17971122,0.0,0.01476,0.01011
96,9216,1.58914,1.5176,0.6405,1.4953,3,18160290,0.0,0.01986,0.00922
97,9312,1.51955,1.5176,0.6405,1.5095,3,18349458,0.0,0.01421,0.00929
98,9408,1.54783,1.5176,0.6405,1.5238,3,18538626,0.0,0.01427,0.0098
99,9504,1.52941,1.5176,0.6405,1.5381,3,18727794,0.0,0.01431,0.00978
100,9600,1.53429,1.49431,0.6495,1.5522,3,18916962,0.0,0.01413,0.00943
101,9696,1.47083,1.49431,0.6495,1.5732,3,19106130,0.0,0.02104,0.00922
102,9792,1.54488,1.49431,0.6495,1.587,3,19295298,0.0,0.01374,0.00983
103,9888,1.38702,1.49431,0.6495,1.6019,3,19484466,0.0,0.01487,0.01024
104,9984,1.46122,1.49431,0.6495,1.6163,3,19673634,0.0,0.01445,0.00978
105,10064,1.40936,1.47139,0.6535,1.624,3,19862802,0.0,0.00766,0.00333
