round,samples,train_loss,test_loss,test_acc,wall_clock,active_workers,bytes_in,mean_staleness,round_seconds,barrier_wait
68,2176,1.7465,1.78124,0.402,0.1079,2,4287916,1,0.00018,0.0
69,2208,1.79465,1.78124,0.402,0.1082,2,4350972,1,0.00025,0.0
70,2240,1.80067,1.74854,0.417,0.1084,2,4414028,1,0.00022,0.0
71,2272,1.79195,1.74854,0.417,0.1127,2,4477084,1,0.0043,0.0
72,2304,1.84183,1.74854,0.417,0.1129,2,4540140,1,0.00027,0.0
73,2336,1.81352,1.74854,0.417,0.1131,2,4603196,1,0.00015,0.0
74,2368,1.61431,1.74854,0.417,0.1133,2,4666252,1,0.00022,0.0
75,2400,1.80026,1.72141,0.434,0.1135,2,4729308,1,0.00014,0.0
76,2432,1.71667,1.72141,0.434,0.1207,2,4792364,1,0.00725,0.0
77,2464,1.77213,1.72141,0.434,0.1211,2,4855420,1,0.00035,0.0
78,2496,1.61117,1.72141,0.434,0.1213,2,4918476,1,0.00029,0.0
79,2528,1.83281,1.72141,0.434,0.1216,2,4981532,1,0.00027,0.0
80,2560,1.66023,1.69657,0.449,0.122,2,5044588,1,0.00034,0.0
81,2592,1.6256,1.69657,0.449,0.1288,2,5107644,1,0.00682,0.0
82,2624,1.68128,1.69657,0.449,0.1291,2,5170700,1,0.00029,0.0
83,2656,1.85858,1.69657,0.449,0.1293,2,5233756,1,0.00027,0.0
84,2688,1.65824,1.69657,0.449,0.1297,2,5296812,1,0.00034,0.0
85,2720,1.64682,1.67142,0.447,0.1299,2,5359868,1,0.0002,0.0
86,2752,1.69944,1.67142,0.447,0.1356,2,5422924,1,0.00576,0.0
87,2784,1.74791,1.67142,0.447,0.1361,2,5485980,1,0.00049,0.0
88,2816,1.76617,1.67142,0.447,0.1365,2,5549036,1,0.00034,0.0
89,2848,1.64827,1.67142,0.447,0.1368,2,5612092,1,0.00029,0.0
90,2880,1.56803,1.64371,0.462,0.137,2,5675148,1,0.00027,0.0
91,2912,1.82461,1.64371,0.462,0.1446,2,5738204,1,0.00759,0.0
92,2944,1.51454,1.64371,0.462,0.145,2,5801260,1,0.00045,0.0
93,2976,1.51766,1.64371,0.462,0.1453,2,5864316,1,0.00021,0.0
94,3008,1.56661,1.64371,0.462,0.1455,2,5927372,1,0.00027,0.0
95,3040,1.45874,1.62124,0.462,0.1457,2,5990428,1,0.00017,0.0
96,3072,1.78392,1.62124,0.462,0.153,2,6053484,1,0.00731,0.0
97,3104,1.68522,1.62124,0.462,0.1534,2,6116540,1,0.00036,0.0
98,3136,1.68382,1.62124,0.462,0.1536,2,6179596,1,0.00025,0.0
99,3168,1.39082,1.62124,0.462,0.154,2,6242652,1,0.00041,0.0
100,3200,1.54564,1.59427,0.484,0.1542,2,6305708,1,0.00018,0.0
101,3232,1.65334,1.59427,0.484,0.1617,2,6368764,1,0.00748,0.0
102,3264,1.57355,1.59427,0.484,0.1623,2,6431820,1,0.0006,0.0
103,3296,1.5867,1.59427,0.484,0.1626,2,6494876,1,0.00029,0.0
104,3328,1.53563,1.59427,0.484,0.1629,2,6557932,1,0.00029,0.0
105,3360,1.63649,1.56977,0.488,0.1631,2,6620988,1,0.00027,0.0
106,3392,1.67246,1.56977,0.488,0.1699,2,6684044,1,0.00675,0.0
107,3424,1.46516,1.56977,0.488,0.1702,2,6747100,1,0.00036,0.0
108,3456,1.4959,1.56977,0.488,0.1705,2,6810156,1,0.00023,0.0
109,3488,1.7962,1.56977,0.488,0.1707,2,6873212,1,0.00019,0.0
110,3520,1.5271,1.54993,0.4965,0.1709,2,6936268,1,0.00019,0.0
111,3552,1.62448,1.54993,0.4965,0.1775,2,6999324,1,0.00664,0.0
112,3584,1.48424,1.54993,0.4965,0.1778,2,7062380,1,0.00028,0.0
113,3616,1.55729,1.54993,0.4965,0.1781,2,7125436,1,0.00027,0.0
114,3648,1.4748,1.54993,0.4965,0.1783,2,7188492,1,0.00026,0.0
115,3680,1.38651,1.52647,0.502,0.1786,2,7251548,1,0.00026,0.0
116,3712,1.62925,1.52647,0.502,0.1857,2,7314604,1,0.00711,0.0
117,3744,1.36323,1.52647,0.502,0.1864,2,7377660,1,0.00074,0.0
118,3776,1.54321,1.52647,0.502,0.1867,2,7440716,1,0.00032,0.0
119,3808,1.58303,1.52647,0.502,0.187,2,7503772,1,0.00028,0.0
120,3840,1.44517,1.50844,0.5115,0.1873,2,7566828,1,0.00027,0.0
121,3872,1.64289,1.50844,0.5115,0.1948,2,7629884,1,0.00747,0.0
122,3904,1.57714,1.50844,0.5115,0.1951,2,7692940,1,0.00036,0.0
123,3936,1.48895,1.50844,0.5115,0.1953,2,7755996,1,0.0002,0.0
124,3968,1.54168,1.50844,0.5115,0.1955,2,7819052,1,0.00021,0.0
125,4000,1.53935,1.4863,0.527,0.1957,2,7882108,1,0.00014,0.0
126,4032,1.52706,1.4863,0.527,0.2023,2,7945164,1,0.00659,0.0
127,4064,1.22456,1.4863,0.527,0.2027,2,8008220,1,0.00039,0.0
128,4096,1.30055,1.4863,0.527,0.203,2,8071276,1,0.00029,0.0
129,4128,1.28546,1.4863,0.527,0.2032,2,8134332,1,0.00027,0.0
130,4160,1.43937,1.47053,0.5255,0.2036,2,8197388,1,0.00041,0.0
131,4192,1.29811,1.47053,0.5255,0.2118,2,8260444,1,0.00818,0.0
132,4224,1.55438,1.47053,0.5255,0.2122,2,8323500,1,0.00041,0.0
133,4256,1.5706,1.47053,0.5255,0.2125,2,8386556,1,0.00029,0.0
134,4288,1.4917,1.47053,0.5255,0.2129,2,8449612,1,0.00038,0.0
135,4320,1.52314,1.44813,0.533,0.2132,2,8512668,1,0.00028,0.0
136,4352,1.41442,1.44813,0.533,0.2197,2,8575724,1,0.00654,0.0
137,4384,1.56214,1.44813,0.533,0.2201,2,8638780,1,0.00038,0.0
138,4416,1.50595,1.44813,0.533,0.2203,2,8701836,1,0.00024,0.0
139,4448,1.4252,1.44813,0.533,0.2206,2,8764892,1,0.00024,0.0
140,4480,1.49557,1.4232,0.534,0.2207,2,8827948,1,0.00014,0.0
141,4512,1.44597,1.4232,0.534,0.2274,2,8891004,1,0.0067,0.0
142,4544,1.40003,1.4232,0.534,0.2277,2,8954060,1,0.0003,0.0
143,4576,1.32858,1.4232,0.534,0.228,2,9017116,1,0.00027,0.0
144,4608,1.39761,1.4232,0.534,0.2282,2,9080172,1,0.00027,0.0
145,4640,1.47217,1.40461,0.543,0.2285,2,9143228,1,0.00027,0.0
146,4672,1.47793,1.40461,0.543,0.2377,2,9206284,1,0.00923,0.0
147,4704,1.48005,1.40461,0.543,0.2381,2,9269340,1,0.00033,0.0
148,4736,1.48611,1.40461,0.543,0.2385,2,9332396,1,0.00048,0.0
149,4768,1.47186,1.40461,0.543,0.2388,2,9395452,1,0.00022,0.0
150,4800,1.38674,1.38536,0.553,0.239,2,9458508,1,0.00024,0.0
151,4832,1.35506,1.38536,0.553,0.246,2,9521564,1,0.00699,0.0
152,4864,1.31964,1.38536,0.553,0.2463,2,9584620,1,0.0003,0.0
153,4896,1.3148,1.38536,0.553,0.2466,2,9647676,1,0.00028,0.0
154,4928,1.40771,1.38536,0.553,0.2468,2,9710732,1,0.00027,0.0
155,4960,1.42591,1.3675,0.5625,0.2471,2,9773788,1,0.00027,0.0
156,4992,1.60357,1.3675,0.5625,0.255,2,9836844,1,0.00791,0.0
157,5024,1.48377,1.3675,0.5625,0.2554,2,9899900,1,0.00035,0.0
158,5056,1.32731,1.3675,0.5625,0.2556,2,9962956,1,0.00027,0.0
159,5088,1.53389,1.3675,0.5625,0.2558,2,10026012,1,0.00017,0.0
160,5120,1.44403,1.35153,0.5615,0.2561,2,10089068,1,0.00025,0.0
161,5152,1.39728,1.35153,0.5615,0.2617,2,10152124,1,0.00564,0.0
162,5184,1.497,1.35153,0.5615,0.262,2,10215180,1,0.00029,0.0
163,5216,1.40003,1.35153,0.5615,0.2623,2,10278236,1,0.00028,0.0
164,5248,1.42737,1.35153,0.5615,0.2625,2,10341292,1,0.00027,0.0
165,5280,1.52403,1.33219,0.569,0.2628,2,10404348,1,0.00029,0.0
166,5312,1.35883,1.33219,0.569,0.2705,2,10467404,1,0.00763,0.0
167,5344,1.2069,1.33219,0.569,0.2717,2,10530460,1,0.00126,0.0
168,5376,1.40803,1.33219,0.569,0.272,2,10593516,1,0.00032,0.0
169,5408,1.65863,1.33219,0.569,0.2722,2,10656572,1,0.00018,0.0
170,5440,1.35002,1.31569,0.578,0.2725,2,10719628,1,0.00024,0.0
171,5472,1.35104,1.31569,0.578,0.2792,2,10782684,1,0.00678,0.0
172,5504,1.37206,1.31569,0.578,0.2795,2,10845740,1,0.0003,0.0
173,5536,1.39695,1.31569,0.578,0.2798,2,10908796,1,0.00028,0.0
174,5568,1.40554,1.31569,0.578,0.2801,2,10971852,1,0.00027,0.0
175,5600,1.22305,1.30214,0.5885,0.2803,2,11034908,1,0.00026,0.0
176,5632,1.29743,1.30214,0.5885,0.2883,2,11097964,1,0.00792,0.0
177,5664,1.29944,1.30214,0.5885,0.2887,2,11161020,1,0.00046,0.0
178,5696,1.36654,1.30214,0.5885,0.289,2,11224076,1,0.0003,0.0
179,5728,1.32914,1.30214,0.5885,0.2893,2,11287132,1,0.00028,0.0
180,5760,1.13519,1.28839,0.5985,0.2897,2,11350188,1,0.00036,0.0
181,5792,1.14956,1.28839,0.5985,0.2957,2,11413244,1,0.00605,0.0
182,5824,1.36602,1.28839,0.5985,0.296,2,11476300,1,0.00033,0.0
183,5856,1.41677,1.28839,0.5985,0.2963,2,11539356,1,0.00028,0.0
184,5888,1.12484,1.28839,0.5985,0.2966,2,11602412,1,0.00027,0.0
185,5920,1.3839,1.27303,0.6065,0.2969,2,11665468,1,0.00027,0.0
186,5952,1.33868,1.27303,0.6065,0.3028,2,11728524,1,0.00592,0.0
187,5984,1.43205,1.27303,0.6065,0.3032,2,11791580,1,0.00039,0.0
188,6016,1.23028,1.27303,0.6065,0.3034,2,11854636,1,0.00024,0.0
189,6048,1.36094,1.27303,0.6065,0.3037,2,11917692,1,0.00025,0.0
190,6080,1.23333,1.2639,0.6115,0.3039,2,11980748,1,0.00024,0.0
191,6112,1.43843,1.2639,0.6115,0.3108,2,12043804,1,0.00684,0.0
192,6144,1.20415,1.2639,0.6115,0.3111,2,12106860,1,0.0003,0.0
193,6176,1.26192,1.2639,0.6115,0.3114,2,12169916,1,0.00031,0.0
194,6208,1.29165,1.2639,0.6115,0.3115,2,12232972,1,0.00018,0.0
195,6240,1.50481,1.24916,0.6175,0.3118,2,12296028,1,0.00021,0.0
196,6272,1.41,1.24916,0.6175,0.3201,2,12359084,1,0.00836,0.0
