round,samples,train_loss,test_loss,test_acc,wall_clock,active_workers,bytes_in,mean_staleness,round_seconds,barrier_wait
72,6912,1.64808,1.66328,0.604,0.5689,3,13620258,0.0,0.00633,0.00042
73,7008,1.67277,1.66328,0.604,0.575,3,13809426,0.0,0.00615,0.00043
74,7104,1.64436,1.66328,0.604,0.5813,3,13998594,0.0,0.00628,0.0004
75,7200,1.61431,1.63312,0.619,0.588,3,14187762,0.0,0.00667,0.00048
76,7296,1.64263,1.63312,0.619,0.6028,3,14376930,0.0,0.01484,0.00053
77,7392,1.64355,1.63312,0.619,0.6092,3,14566098,0.0,0.00637,0.00042
78,7488,1.62965,1.63312,0.619,0.6155,3,14755266,0.0,0.0063,0.00043
79,7584,1.62012,1.63312,0.619,0.6219,3,14944434,0.0,0.00642,0.0005
80,7680,1.67191,1.60163,0.62,0.6283,3,15133602,0.0,0.00638,0.00042
81,7776,1.65376,1.60163,0.62,0.6435,3,15322770,0.0,0.01521,0.00058
82,7872,1.57974,1.60163,0.62,0.6498,3,15511938,0.0,0.00629,0.00042
83,7968,1.60955,1.60163,0.62,0.656,3,15701106,0.0,0.00624,0.00047
84,8064,1.62142,1.60163,0.62,0.6622,3,15890274,0.0,0.00614,0.00059
85,8160,1.62008,1.57147,0.6335,0.6683,3,16079442,0.0,0.00616,0.00063
86,8256,1.6005,1.57147,0.6335,0.6862,3,16268610,0.0,0.01783,0.00057
87,8352,1.57021,1.57147,0.6335,0.6929,3,16457778,0.0,0.00675,0.0009
88,8448,1.57857,1.57147,0.6335,0.6999,3,16646946,0.0,0.00703,0.00039
89,8544,1.58341,1.57147,0.6335,0.7068,3,16836114,0.0,0.00681,0.00064
90,8640,1.53632,1.54377,0.6385,0.714,3,17025282,0.0,0.00721,0.00042
91,8736,1.51972,1.54377,0.6385,0.7302,3,17214450,0.0,0.01628,0.00052
92,8832,1.56402,1.54377,0.6385,0.7363,3,17403618,0.0,0.00606,0.00029
93,8928,1.54791,1.54377,0.6385,0.7424,3,17592786,0.0,0.00606,0.00058
94,9024,1.59244,1.54377,0.6385,0.7482,3,17781954,0.0,0.00585,0.00024
95,9120,1.61725,1.5176,0.6405,0.7556,3,17971122,0.0,0.00742,0.00049
96,9216,1.58914,1.5176,0.6405,0.7726,3,18160290,0.0,0.01696,0.00036
97,9312,1.51955,1.5176,0.6405,0.7794,3,18349458,0.0,0.00678,0.00044
98,9408,1.54783,1.5176,0.6405,0.7856,3,18538626,0.0,0.0062,0.00042
99,9504,1.52941,1.5176,0.6405,0.7917,3,18727794,0.0,0.00611,0.00026
100,9600,1.53429,1.49431,0.6495,0.7978,3,18916962,0.0,0.00612,0.00024
101,9696,1.47083,1.49431,0.6495,0.8097,3,19106130,0.0,0.01194,0.00034
102,9792,1.54488,1.49431,0.6495,0.8156,3,19295298,0.0,0.00585,0.00026
103,9888,1.38702,1.49431,0.6495,0.822,3,19484466,0.0,0.00643,0.00046
104,9984,1.46122,1.49431,0.6495,0.8282,3,19673634,0.0,0.00619,0.00037
105,10043,1.45765,1.47123,0.653,0.8343,3,19862802,0.0,0.0061,0.00431
